Number,Name,Abbre,City,GM Name,Messenger,Email,Arena,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacityL1,ArenaCapacityL2,ArenaCapacityL3,ArenaCapacityL4,ArenaCapacityL5,TicketPriceL1,TicketPriceL2,TicketPriceL3,TicketPriceL4,TicketPriceL5,AttendanceL1,AttendanceL2,AttendanceL3,AttendanceL4,AttendanceL5,SpecialSalaryCapY1,SpecialSalaryCapY2,SpecialSalaryCapY3,SpecialSalaryCapY4,SpecialSalaryCapY5,SpecialSalaryCapY6,SpecialSalaryCapY7,SpecialSalaryCapY8,SpecialSalaryCapY9,SpecialSalaryCapY10,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,Finance,LuxuryTaxeTotal,CoachID,Empty4,Morale,PowerRanking,LinesLoad,LastLoadFileDate,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,TotalSalaryCap,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
11,Team 11,T11,,,,,,Division 5,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,224776,188843,75863,152428,37864,0,0,0,0,0,0,0,0,0,0,80,56518938,0,56518929,56518929,304333,679774,59808607,57518937,40,100,151570317,0,6,,50,17,0,,X,False,0,False,11,0,0,0,,L4,3,5,0,0,0,0,2,80,30,36,0,5,3,2,4,81,174,196,40,13,19,0,2,2,2,2,88,104,261,36,287,44,0,1860,2075,627,598,619,603,57,58,56,53,7,114500,115436,60971,35866,79768,30111,4,174,304,478,641,1804,1364,2556,1360,2502,589,1136,2
12,Team 12,T12,,,,,,Division 2,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,227110,185458,76360,150707,37924,0,0,0,0,0,0,0,0,0,0,80,62599068,0,62599000,62599000,336503,677559,59829446,63599067,40,100,126779491,0,27,,50,10,0,,Y,False,0,False,12,0,0,0,,W1,6,3,0,0,0,0,1,80,40,25,0,5,1,4,5,104,290,222,40,25,11,0,1,0,2,1,160,97,268,41,355,67,4,2614,2234,718,876,797,909,58,104,93,84,11,118174,112153,60801,35875,77116,29986,3,290,508,798,777,2114,1312,2630,1412,2787,632,1247,0
13,Team 13,T13,,,,,,Division 6,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,226782,189610,76068,151767,38076,0,0,0,0,0,0,0,0,0,0,80,59125248,0,59125260,59125260,318123,682303,60158195,60125247,40,100,134829038,0,26,,50,2,0,,Y,False,0,False,13,0,0,0,,L1,5,4,0,0,1,0,0,80,34,32,0,4,7,3,0,89,220,219,40,20,13,0,2,3,2,0,114,112,307,52,329,62,3,1977,2260,660,637,624,699,24,85,57,71,9,115321,115143,59526,35018,79983,29439,3,220,393,613,749,2001,1385,2707,1312,2470,595,1157,1
14,Team 14,T14,,,,,,Division 1,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,229481,189279,75223,149455,37689,0,0,0,0,0,0,0,0,0,0,80,56978964,0,56979000,56979000,306767,681127,60264777,57978963,40,100,131218220,0,20,,50,24,0,,E,False,0,False,14,0,0,0,,L1,6,3,0,0,1,0,0,80,37,37,0,2,1,2,1,84,197,211,40,20,18,0,1,1,0,0,96,102,249,41,265,39,1,2089,2134,624,676,696,711,16,62,65,66,5,114940,112112,61974,35964,76626,30752,9,197,347,544,582,1767,1390,2620,1382,2617,615,1186,2
15,Team 15,T15,,,,,,Division 5,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,224344,189031,73922,151001,37632,0,0,0,0,0,0,0,0,0,0,80,57350916,0,57350933,57350933,308735,675930,59581193,58350915,40,100,144909740,0,49,,50,6,0,,X,False,0,False,15,0,0,0,,W1,5,5,0,0,0,0,0,80,28,35,0,7,2,3,5,83,205,210,40,15,19,0,2,2,1,1,102,112,303,42,256,45,3,2232,1844,558,740,683,764,72,75,61,59,13,107731,121523,62237,35540,84226,31955,6,205,362,567,674,1775,1148,2435,1369,2757,609,1186,3
16,Team 16,T16,,,,,,Division 3,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,226079,185137,76111,150228,37567,0,0,0,0,0,0,0,0,0,0,80,56855169,0,56855105,56855105,306112,675122,59561385,57855168,40,100,126136489,0,73,,50,18,0,,E,False,0,False,16,0,0,0,,W1,2,8,0,0,0,0,0,80,27,44,0,2,2,3,2,68,162,206,40,16,20,0,1,2,0,1,78,89,281,48,255,45,2,1829,2010,550,624,617,577,30,58,53,46,8,111350,118419,60256,34984,83163,30703,6,162,286,448,593,1713,1319,2525,1300,2381,591,1148,3
17,Team 17,T17,,,,,,Division 4,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,224076,187458,74400,150870,37686,0,0,0,0,0,0,0,0,0,0,80,62484345,0,62484325,62484325,335896,674490,59460039,63484344,40,100,116014315,0,51,,50,23,0,,Z,False,0,False,17,0,0,0,,W1,6,4,0,0,0,0,0,80,46,24,0,5,2,1,2,108,239,190,40,23,11,0,3,2,0,1,131,106,262,47,352,50,5,2393,2039,613,761,770,833,43,78,81,74,11,112073,116649,61051,35314,80859,30722,10,239,432,671,788,1899,1466,2597,1577,2795,687,1243,1
18,Team 18,T18,,,,,,Division 1,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,226424,186553,75774,151751,37126,0,0,0,0,0,0,0,0,0,0,80,57812076,0,57812000,57812000,311175,677628,59633306,58812075,40,100,149971853,0,34,,50,8,0,,Z,False,0,False,18,0,0,0,,W6,7,1,0,0,2,0,0,80,43,18,0,9,6,2,2,116,295,205,40,22,7,0,4,4,2,1,160,105,263,52,245,42,1,2567,2167,654,879,844,815,44,108,91,85,15,118192,110738,62070,36072,75732,30699,7,295,524,819,556,1757,1359,2614,1473,2853,672,1288,1
19,Team 19,T19,,,,,,Division 6,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,223853,192376,74867,149426,37903,0,0,0,0,0,0,0,0,0,0,80,49417830,0,49417865,49417865,266761,678425,59830571,50417829,40,100,140984570,0,39,,50,19,0,,E,False,0,False,19,0,0,0,,W1,4,6,0,0,0,0,0,80,26,42,0,5,3,1,3,70,184,245,40,13,23,0,2,1,1,0,80,115,276,46,339,58,3,1932,2284,621,674,600,636,37,64,61,53,7,120789,108236,61078,36356,73436,29425,5,184,332,516,780,1996,1307,2795,1151,2411,579,1189,2
20,Team 20,T20,,,,,,Division 2,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,228476,189198,76486,150978,37433,0,0,0,0,0,0,0,0,0,0,80,56874069,0,56874000,56874000,306212,682571,60171926,57874068,40,100,122785952,0,53,,50,20,0,,E,False,0,False,20,0,0,0,,W1,4,6,0,0,0,0,0,80,22,49,0,2,3,3,1,58,186,263,40,12,23,0,2,1,2,0,100,133,237,38,293,54,5,1879,2615,832,620,629,621,25,67,49,65,8,133521,97417,58996,35608,65079,27470,3,186,312,498,693,1886,1486,3012,1160,2327,576,1209,2
21,Team 21,T21,,,,,,Division 4,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,224715,188579,75120,151893,37524,0,0,0,0,0,0,0,0,0,0,80,51257178,0,51257157,51257157,276493,677831,59646956,52257177,40,100,135114594,0,35,,50,21,0,,E,False,0,False,21,0,0,0,,L1,5,4,0,0,1,0,0,80,25,45,0,2,4,3,1,65,154,202,40,13,22,0,1,1,2,1,75,104,282,37,253,44,2,1705,2141,615,578,546,563,37,58,51,40,8,117952,110616,61457,36727,75956,30113,5,154,257,411,626,1650,1192,2686,1046,2312,478,1137,1
22,Team 22,T22,,,,,,Division 3,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,228010,189064,75852,151756,37430,0,0,0,0,0,0,0,0,0,0,80,58101246,0,58101239,58101239,312705,682112,60099451,59101245,40,100,109746650,0,61,,50,22,0,,E,False,0,False,22,0,0,0,,L2,1,7,0,0,2,0,0,80,20,45,0,4,9,1,1,60,152,242,40,8,24,0,2,5,1,0,75,130,252,42,316,52,1,1799,2329,690,552,614,611,30,44,51,52,7,120318,111005,59449,35588,76649,28962,6,152,272,424,742,1846,1375,2748,1120,2298,544,1148,2
23,Team 23,T23,,,,,,Division 5,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,227146,186997,75225,151175,37696,0,0,0,0,0,0,0,0,0,0,80,64623636,0,64623597,64623597,347215,678239,59857336,65623635,40,100,125945558,0,7,,50,4,0,,Y,False,0,False,23,0,0,0,,OTL1,5,3,0,0,2,0,0,80,38,28,0,4,7,2,1,96,235,207,40,17,16,0,2,3,1,1,113,103,297,61,281,41,1,2211,2038,567,733,742,714,34,85,83,61,7,114864,114277,60796,35735,78506,30033,9,235,410,645,660,1798,1309,2572,1389,2708,643,1254,1
24,Team 24,T24,,,,,,Division 3,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,230613,189356,75885,151039,37671,0,0,0,0,0,0,0,0,0,0,80,60747057,0,60747150,60747150,326704,684564,60486011,61747056,40,100,134465017,0,40,,50,12,0,,X,False,0,False,24,0,0,0,,L2,6,4,0,0,0,0,0,80,43,25,0,2,3,3,4,103,241,164,40,22,12,0,2,0,2,2,133,78,276,59,286,35,2,2247,2049,597,781,753,694,47,84,89,63,8,109050,119961,61433,34727,83824,31063,12,241,433,674,652,1881,1216,2614,1313,2685,589,1185,1
